address;shares;value_before;value_after;loss_previewdiff;loss_analytic
0x8b773f2e3aa7f9d64cb93a95a0b42829d6bad7e3;1080361835582409017887;1090230535026903;466264639952238;623965895074665;623965895074664
0xee83ae872f88554a00fc9fae7052823cb4c07f80;1066259004829874464954;1075998880214290;460178113117834;615820767096456;615820767096455
0x9d915ceb820b5243d4a609f149799b540ecd5c67;1045530351121383815186;1055080878042534;451232000861959;603848877180575;603848877180575
0xf801a1c2f1be24a0278dd3a8c0b3ff3d965d9d21;1044172310152423056368;1053710431879577;450645894927282;603064536952295;603064536952295
0x382fbd06b103f8adf2ca3d402efbe18f214313d0;1041768885132702719850;1051285052475339;449608620132335;601676432343004;601676432343003
0xa2e82aa014ba758214768278f9c72cbedcfc6e53;1036597483361416606216;1046066411891919;447376736604501;598689675287418;598689675287417
0x16b4c671bc4f70e75beb0c6280309e42161dc8a7;1022535713883780159657;1031876193433523;441307931074133;590568262359390;590568262359389
0x88dd10a5bcecba71f2493cb261b181f57943040d;1005116170721576961749;1014297529289565;433789971115580;580507558173985;580507558173984
0x1f367e135c820b3ed88c16edb30ef2d508ad1191;1002854304123086678915;1012015001389547;432813790376470;579201211013077;579201211013076
0xf473de0df183cb762dd4817489d9357b0beb15fc;998507109305619618025;1007628096580790;430937619671795;576690476908995;576690476908995
0xc60a0aa6d6901716905738c592fcd50b12a86710;997181576711042707688;1006290455744003;430365543763891;575924911980112;575924911980112
0xca63a21562dae4472bb15351aee25522e0a14d75;995955361141741187133;1005053039156201;429836331288873;575216707867328;575216707867328
0x8c0f33dacfa40e225c7ada0de2e3ee4d07d0751d;995292279895700451361;1004383900912117;429550157408732;574833743503385;574833743503384
0xabfc07de04d41297569b054ebcbd2795b6156c8b;995251477011836352133;1004342725309240;429532547621597;574810177687643;574810177687642
0x486a6b458c2ca7402e3cbeafe073044f53dd7e6d;995248115084915398483;1004339332672379;429531096674707;574808235997672;574808235997672
0xc1eccb200494a359aafc05873b51d295f1525078;995239585568519623244;1004330725242056;429527415489607;574803309752449;574803309752448
0x994cf01f34c51426bcb12bd30ff7079e280e1140;995237494341290696299;1004328614912252;429526512953736;574802101958516;574802101958516
0x37431c16b36e278c0bbf8c0eadf31208b2a38430;995217523661125102576;1004308461807427;429517893969160;574790567838267;574790567838267
0xbbd9111ff9d0ad76d2d1681adc6b88c392a794f4;995017532832033105355;1004106644137254;429431581542296;574675062594958;574675062594957
0x64931189b070fc7c8c80839c8a2d9a10b83082ab;995002655429525479280;1004091630835264;429425160724293;574666470110971;574666470110970
0x85b3f50e9d3e902123fa6d3469511029be7c51f2;994967472934471424466;1004056126961337;429409976595376;574646150365961;574646150365961
0xc7bdd6ab5e7cc8ec6d095921ef6a23a11c3f6db6;993584862759571315518;1002660887161976;428813267035521;573847620126455;573847620126455
0x9830d6b37fe7488707cc4ad7f8b481d75eb2a8c2;992278456423358919979;1001342547294737;428249445675007;573093101619730;573093101619730
0x35226e78809a5dae4562b0b1fc4cf96cdb6a01a8;992277674221636664318;1001341757947896;428249108090882;573092649857014;573092649857013
0x134e00aa558c6552f88144845e9ad6b45f4e7dd2;992276547815933451916;1001340621252900;428248621954542;573091999298358;573091999298358
0xe9a830ab84558da8fbb7995306bdeda3f1f6d1de;992276443552904674210;1001340516037468;428248576956503;573091939080965;573091939080964
0x5732fd69ededa743ac78d2f3a1d1ea30ff67d82d;992275989621866630054;1001340057959940;428248381048072;573091676911868;573091676911868
0xa54d6fd8143af647f49d57f98db806376040868a;992271895673148792938;1001335926614539;428246614173806;573089312440733;573089312440732
0x51d2bf026fde1ce087c178d9ce3f91fdebf054e6;992270984203768143247;1001335006819228;428246220800097;573088786019131;573088786019130
0xd152926beefd40caef59040a2144980e481a59e3;992266719159456453087;1001330702815339;428244380084066;573086322731273;573086322731273
0x288a4e70eba5d4f92e28f8ccc561e9fc947304a1;992264114065423480095;1001328073924751;428243255772570;573084818152181;573084818152180
0xf3489ee15313a4c5c78b3ca46f2939e366619a0e;991742494795843189829;1000801689859131;428018134324447;572783555534684;572783555534683
0x35205135f0883e6a59af9cb64310c53003433122;991627518753125068073;1000685663553462;427968512742681;572717150810781;572717150810780
0xb991175200a225f124c7bb820751411144d03552;991572108838755990807;1000629747490345;427944598825212;572685148665133;572685148665132
0xc4130e106837730560b534d64d488a502096fded;985678870066774116256;994682676196443;425401183495579;569281492700864;569281492700863
0xde79fa44e6a37f437b2dc74e81e3958abe9f000f;980754672000053962240;989713497430548;423275988618258;566437508812290;566437508812290
0xb300aa30dd33e1ae849cb69fa23d6ddaf90a69bc;949175965304416140730;957846331114290;409647189615319;548199141498971;548199141498970
0xb0131f9775be0d4ed66cc475b3c515a7e1f5d26a;945376887082685580395;954012549740429;408007576125779;546004973614650;546004973614650
0xcd088e347ac400327ed62494fa274d5e69359fea;851026711977586292391;858800521235866;367287745994891;491512775240975;491512775240974
0x74a13587e4549b5f717f1db32960247e5ec538c7;844458699720981612146;852172512655091;364453110626291;487719402028800;487719402028800
0xd00226b73bab097e97c6df416dc031df7c4b5af1;821900503806878430794;829408256097087;354717401024710;474690855072377;474690855072377
0xe2c2bbac29a8991c21d50cfb76d56ef455d85157;796812852185279913558;804091438204090;343890024061430;460201414142660;460201414142660
0x0c74d9e478ec897af92e57911cd985978a3597d4;796530503739726572058;803806510611573;343768167575972;460038343035601;460038343035601
0xb459834334602829bb1d18610339df29e3a0a7cf;795934683742040643572;803205248022075;343511022434828;459694225587247;459694225587247
0x1caadd7bbad2eedb593bb808db4af1a678af560b;794673902861713168576;801932950382118;342966892196362;458966058185756;458966058185756
0x0bba9956e4daf62b142228c631af56a59946291a;785237171699845913507;792410018226743;338894169602323;453515848624420;453515848624420
0x9ca53d2679f8a5f1f863b0a620d3d100b21e063a;745747898246529517749;752560025097706;321851312975719;430708712121987;430708712121987
0x87941a73f2ea8e05dfa2854561e307a786c5e8e3;737691304045084023874;744429836935329;318374232546870;426055604388459;426055604388458
0x6d3a6fda22aa10822326efdd4501c0efd8958148;725874889595883759060;732505483979908;313274481660435;419231002319473;419231002319473
0x3d124f86a603b9ec52e797e3c50a83ecae6fbc54;676958012467664081730;683141769558624;292162841698179;390978927860445;390978927860444
0x6f58f37e1a6cdc2cdf1ba85c706923b9d5f8efb0;668763548331645307052;674872452071622;288626259097663;386246192973959;386246192973959
0x5f40516e04001d25622d1f8d959dad0a12b4601a;658729082344183620757;664746325007608;284295564957367;380450760050241;380450760050241
0x21d90e6f18f3848d9e45f34bdb4dfdde3fa09d1a;649784411283077662539;655719947737133;280435206608490;375284741128643;375284741128642
0xe5c74069f2c2938e5584fd8f57b1ada5846f4769;598907095596735309864;604377886888092;258477476800828;345900410087264;345900410087264
0xcad821825487226c7bab24c386912568c89c2f46;596544824489238266353;601994037321602;257457963290511;344536074031091;344536074031091
0x43258f6452d0e839b8aa8e3296b763192e3f308b;595323420681618970463;600761476449118;256930827484859;343830648964259;343830648964258
0x230d2f7d07d6d7f0326b49c6364e1174aa515015;592397575096874495076;597808904364282;255668085417160;342140818947122;342140818947122
0x34f9c0b11e67d72ad65c41ff90a6989846f28c22;578718715242002673925;584005093264184;249764536758621;334240556505563;334240556505563
0x9a254e8c6c910108fbff99923c37b95efe034270;578522958689127856161;583807548548750;249680051768835;334127496779915;334127496779915
